"Date","Site.Name","COUNTY","meanlat","meanlon","Year","Month","Ozone","PM2.5"
2018-01-06,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,8
2018-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,23
2018-01-06,"Millbrook School","Wake",35.856111,-78.574167,2018,1,33,33
2018-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,17
2018-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,29
2018-01-07,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,54
2018-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,9
2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,49
2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,39
2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,31,47
2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,28
2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,15
2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,38
2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,2018,1,34,48
2018-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,18
2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,27
2018-01-08,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,71
2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,11
2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,52
2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,34.5
2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,3
2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,16,53
2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,40
2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,40
2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,22
2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,44
2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,2018,1,27,42.5
2018-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,31
2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,38
2018-01-09,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,78
2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,20
2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,60
2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,49
2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,28,53
2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,54
2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,19
2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,43
2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,2018,1,30,35
2018-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,31
2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,43
2018-01-10,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,56
2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,14
2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,39
2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,39
2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,31,38
2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,32
2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,35
2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,29
2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,2018,1,33,22
2018-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,37
2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,35
2018-01-11,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,17
